Groups,GUID,ADGRE5,MYLK,CDKN2A,CDK1,MCM4,HMGB2,MCM6,RNPS1,GBP1,MYL9,LCP1,CBR3,MCM3,AIF1,B2M,IL4I1,MCM2,KPNA2,FEN1,CD163,MCM7,SLMAP,ITGA5,SMTN,FABP3,NASP,PSMB9,MYL6,RBPMS,NIBAN1,MYH11,WARS1,MZB1,FOLR2,CTSC,ACADVL,NDUFA9,SUCLA2,THBS4,IGF2BP2,CLEC11A,PRPH,MYH7,ASPN,FMOD,COL12A1,OLFML3,TUBB2B,FBLN5,MB,CPXM1,KRT18,CKM,KRT19,KRT8,MYLPF,COMP,CALB2,MYL1,MYL2,EEF1A2,MYL3,THBS3,FDXR,MDK,MACROH2A2,CRABP1
AYA,STS001,-0.92929575,0.123943338,-1.427430206,-1.342062521,-0.869611359,-1.501156032,-0.784678199,-1.343836882,-2.900486638,-0.266228613,-0.118616814,-1.12800891,-0.783331438,-0.446336829,-1.716760171,0.009578227,-0.857396579,-1.148492633,-0.483357002,-1.548684757,-0.676270916,0.119578965,-1.630494597,-0.469630389,-0.90423888,-0.436745155,-1.243568042,-1.153580475,-0.436745155,-0.756794312,0.411044178,-1.150189624,-1.931308776,-0.646494662,-0.424615309,0.522660719,1.693747985,0.56977194,-0.263805236,3.553997195,-0.816229396,-1.492166557,2.314819566,0.431443891,0.045202809,-1.347244146,-0.314905039,1.809754914,1.648907253,2.931262602,0.085757971,7.065384999,2.956710039,1.538371352,8.042981535,2.330569861,-0.80673044,1.819491012,2.3683226,3.952799311,-0.436745155,4.263994791,-0.824303334,1.554651315,1.699525498,3.09592784,2.493148839
AYA,STS002,-1.823479317,-1.202985239,-0.789571613,-1.994369467,-1.098869953,-1.406250601,-1.080643031,-0.906762947,-0.214316172,-0.740985127,-0.448710534,-0.711875582,-1.31259419,0.341979314,0.497797083,0.112334817,-1.000152058,-1.17510645,-0.799395333,-0.301212848,-0.8449724,0.877740788,-1.802959033,-0.115347678,4.045704144,-1.505483294,0.001221125,-0.28538013,0.118653926,-0.879793721,-0.269540193,-0.223063582,-0.480330348,0.476896603,0.283828347,2.399487684,2.178836531,2.039988683,1.782096546,-1.048612793,-0.301422187,1.16256974,6.310961697,1.638372794,1.950793971,0.300319897,-0.326975799,1.065795531,-0.27973104,7.783292167,-1.091784316,-1.227804233,7.388653877,-1.336478471,-1.617764762,7.4035024,2.340869678,0.583444395,7.162247984,7.329742331,5.43055734,7.729819926,1.084409428,0.290802115,2.879160331,-0.568216317,-1.043883677
AYA,STS003,0.979958532,-3.248628364,-0.736479746,-0.680161962,-0.18325907,-0.726691793,-0.212669732,-1.184970552,0.465053709,-1.179673178,-0.4380988,-1.27030204,-0.24879956,-0.757724581,0.673555486,1.01249813,-0.041932306,0.913547093,-0.58441828,0.01828535,-0.00529824,-3.656146016,-0.221735961,-1.707810777,-2.716050813,-0.911983279,1.529808511,-0.335997515,-1.133477724,-2.622426295,-2.345252822,2.433490999,-1.332118714,-1.19709596,-0.092668502,0.806979469,1.777070419,1.155795449,-0.450696548,-0.188789198,0.431736775,-2.840298044,-0.994745425,-0.394895739,-1.932158594,2.191767087,-0.82179717,2.002138036,0.099303972,-0.374923597,0.708328489,3.751099265,3.391816413,6.712999197,5.101754257,-0.909584015,6.616601435,-0.19763996,0.549690726,0.308039043,0.364466123,-0.948911023,4.24907039,2.645542615,-0.660079337,-0.184479467,-0.990180761
AYA,STS004,-2.536330625,-2.618006188,-1.653639361,-2.414206771,-1.596775577,-0.535439758,-1.331445014,-0.812631922,-1.333805907,-2.173502365,-1.17557511,-2.351018553,-1.562912247,-0.90633762,-1.689633835,-1.559649819,-1.032858313,-1.974261361,-1.245394403,-1.223910255,-1.263559393,-2.122048965,-1.607314854,-1.779118259,-0.554100316,-0.303397019,-1.794701676,-1.649523047,-2.271055167,-1.636593072,-1.989285281,-1.345277799,-2.390755229,-1.479804498,-2.118452432,2.649987007,1.992538827,2.301779137,-0.286269452,0.095496945,1.036447408,4.995382898,-1.028365566,-4.97976897,0.926913689,0.198221627,1.45772515,1.427715469,1.89838397,-3.310521895,-0.214088517,1.277543547,-2.579189005,5.536203763,5.234900165,-0.955342475,-1.891736837,0.754456729,-3.641506799,-3.478872371,5.39970001,-2.374999918,-0.077787912,4.374690593,1.701804384,3.654622542,0.846605458
AYA,STS005,-1.96245107,2.739026897,-0.143353316,-2.625420785,-1.028717928,-0.092832608,-0.743127603,0.282781174,-0.357590256,-0.684173976,-0.237530749,-1.900311048,-0.578112513,-1.158906542,-1.988626868,-0.41603045,-0.331062886,-1.325969654,-0.569305233,-1.027706772,-0.642952183,0.726872359,-2.087029024,-1.047153544,-1.080807196,-0.392560357,-1.815468371,-1.260489564,1.209156391,-1.097777812,1.743949589,-0.754448738,-2.45893952,-1.28258683,-1.243363395,1.199486061,0.930883741,1.928282896,-2.247843593,2.444106717,-1.238487892,-2.387785971,-0.244927724,0.631515648,-1.175601688,-1.413571897,0.677606628,3.255859889,0.277074282,-1.965076175,0.758283944,2.007078979,0.996226758,1.790150349,1.979476564,-1.501139066,-0.250246027,1.73909322,-0.980238578,-2.034451522,2.995870206,-1.675909019,-1.298945877,2.461795059,0.657103674,2.89028209,2.861649271
AYA,STS006,-4.708459669,-2.836806227,-0.740390674,-4.140655399,-1.604772013,-2.996524771,-2.762230319,0.989058109,-0.530246252,-1.034881436,-1.854372855,-1.652347655,-2.477329981,-1.987216962,-2.139880332,-2.247853716,-2.071917887,-0.738159101,-1.225241571,-1.730614498,-1.557907556,-1.539632868,-0.910449149,-0.036173425,-0.983618557,-2.626939307,-1.797877032,-0.884934063,-1.608189186,-0.979122907,-1.294082015,-1.596360167,0.319168307,-1.167478351,-0.560449604,-0.329649255,0.412564482,0.411495935,4.095906997,1.268828987,3.849354006,-0.738935203,-0.730336844,3.384860705,2.818503304,3.38917292,4.794040656,2.114746651,1.247950591,-2.059601133,2.798710948,5.640472469,-3.298751454,-1.299000843,1.898289599,-0.082244474,5.7283359,2.90594814,-0.581291946,1.329716983,-1.880699575,-0.274874178,3.57499938,0.852567923,2.537270398,0.372969955,-1.28940081
AYA,STS007,-1.580163963,-0.665590825,-1.360821811,-2.643755609,-1.693005252,-1.429564776,-1.372592735,-1.519699298,-0.86836014,-0.886075337,-0.495419699,1.134894264,-1.661971827,-0.33316698,0.222007588,-1.968911954,-1.421430499,-1.432860134,-1.134649713,-0.042987449,-1.518893322,-0.176955726,-1.766930157,-0.95800479,2.343782751,-1.420259555,-0.137224894,-0.464777142,0.01732332,-0.846461419,-0.067006102,-0.888582197,-1.630998327,0.573825439,0.236738402,2.624016357,2.702433149,2.209691972,0.161138621,-1.767682313,-1.464778161,-0.360829243,4.601946612,1.560051656,-0.677819095,-0.49375233,-0.97615087,0.428396342,-0.50081909,5.890539928,-1.475158891,-1.844657746,5.718578117,-2.520653996,-1.297885692,5.997936952,0.336116119,-0.955205046,5.932234356,5.215165212,4.910893804,6.283942469,-0.575940752,1.082427155,2.765235661,-0.585791613,-3.225527461
AYA,STS008,-1.485631427,-2.887318534,-0.43305882,-2.188478793,-2.525970175,-0.709678825,-1.842833124,-0.877413203,-2.941436323,-2.880451523,-1.467979165,-0.654020123,-2.269826934,-0.12912347,-1.673916654,-1.327562413,-2.163022651,-2.537252365,-1.875259247,0.46683887,-1.799221166,-1.39285001,-1.72946803,-3.275143221,-0.149117931,-0.3791748,-1.759731513,-1.941500636,-3.282868002,-1.329085193,-1.323761184,-2.261607866,-1.592554063,1.764385931,-0.899242787,1.706212301,1.729226826,1.900483957,3.921561603,2.094395998,-1.07860174,2.897844553,0.501765635,3.288142994,0.789069334,1.408447498,2.422583017,0.678155287,1.90091345,0.824532799,0.286034975,-0.962733905,0.605460546,0.246636157,-0.360625615,0.046639177,2.334029084,-0.321729225,0.980323607,0.904086876,2.925430577,0.67928695,2.455010603,3.12872798,0.69922674,3.697469315,5.562988836
AYA,STS009,-1.992963182,-1.878331094,-3.092540517,-1.76428527,-1.13847518,-0.336026056,-1.521942935,-0.700723949,-1.00122362,-2.079440449,-1.379314697,-0.679580436,-0.670232276,-1.068406752,-1.967414133,-2.119147631,-0.601846477,-2.258019258,-0.980031584,-1.288787399,-0.605638472,-1.609536432,-1.731778029,-0.862479111,1.326813979,-0.63030048,-1.545035841,-1.682173137,-2.497062697,-1.812045681,-0.567841833,-1.201578038,-0.32392367,-0.649647831,-1.343035833,2.135685634,0.794736647,1.756500288,1.711299229,0.856746983,0.393622487,1.407263076,2.933590612,1.984785462,2.160278161,0.095423865,3.565570524,1.508062638,2.407702315,3.577988177,1.009325845,-1.379415417,3.280188339,4.700646534,-1.226807926,2.440144337,0.892708128,1.075852177,3.131711663,2.598543745,3.284128339,2.912533152,2.071775137,3.264778648,-0.079342493,3.420232189,4.938432124
AYA,STS010,-1.037917458,-0.570278365,-7.257039663,-1.268711242,-0.817624152,-1.245567694,-0.486561467,-1.752500303,-1.194211543,0.206838494,-0.225878241,1.157436437,-1.017877594,-2.150413318,0.459236178,-0.931244085,-1.451548402,-1.101958477,-0.522558921,-1.670229018,0.111730277,-0.629480319,-0.848597886,-0.374106316,-1.286901615,-0.963242941,0.002133939,0.303451831,-0.587041545,-0.395874272,0.531678471,0.251936162,2.417934167,-1.918192156,0.953746484,1.235244699,0.792798245,0.817437993,2.914017603,-0.265997328,0.826164539,-0.060036968,0.443772823,3.731028296,4.656327169,1.534651616,1.008081664,-0.669664104,2.517200827,0.316513394,1.308725632,4.348907414,0.63706035,4.365978016,4.066572441,1.540892699,4.772577441,1.556422213,1.446643585,-0.116449979,-0.149560727,2.297075926,3.939161994,0.247863369,0.327544421,0.474474545,2.844774156
