"Groups","ADGRE5","MYLK","CDKN2A","CDK1","MCM4","HMGB2","MCM6","RNPS1","GBP1","MYL9","LCP1","CBR3","MCM3","AIF1","B2M","IL4I1","MCM2","KPNA2","FEN1","CD163","MCM7","SLMAP","ITGA5","SMTN","FABP3","NASP","PSMB9","MYL6","RBPMS","NIBAN1","MYH11","WARS1","MZB1","FOLR2","CTSC","ACADVL","NDUFA9","SUCLA2","THBS4","IGF2BP2","CLEC11A","PRPH","MYH7","ASPN","FMOD","COL12A1","OLFML3","TUBB2B","FBLN5","MB","CPXM1","KRT18","CKM","KRT19","KRT8","MYLPF","COMP","CALB2","MYL1","MYL2","EEF1A2","MYL3","THBS3","FDXR","MDK","MACROH2A2","CRABP1"
"AYA","-0.929295750"," 0.123943338","-1.427430206","-1.342062521","-0.869611359","-1.501156032","-0.784678199","-1.343836882","-2.900486638","-0.266228613","-0.118616814","-1.128008910","-0.783331438","-0.446336829","-1.716760171"," 0.009578227","-0.857396579","-1.148492633","-0.483357002","-1.548684757","-0.676270916"," 0.119578965","-1.630494597","-0.469630389","-0.904238880","-0.436745155","-1.243568042","-1.153580475","-0.436745155","-0.756794312"," 0.411044178","-1.150189624","-1.931308776","-0.646494662","-0.424615309"," 0.522660719"," 1.693747985"," 0.569771940","-0.263805236"," 3.553997195","-0.816229396","-1.492166557"," 2.314819566"," 0.431443891"," 0.045202809","-1.347244146","-0.314905039"," 1.809754914"," 1.648907253"," 2.931262602"," 0.085757971"," 7.065384999"," 2.956710039"," 1.538371352"," 8.042981535"," 2.330569861","-0.806730440"," 1.819491012"," 2.368322600"," 3.952799311","-0.436745155"," 4.263994791","-0.824303334"," 1.554651315"," 1.699525498"," 3.095927840"," 2.493148839"
"AYA","-1.823479317","-1.202985239","-0.789571613","-1.994369467","-1.098869953","-1.406250601","-1.080643031","-0.906762947","-0.214316172","-0.740985127","-0.448710534","-0.711875582","-1.312594190"," 0.341979314"," 0.497797083"," 0.112334817","-1.000152058","-1.175106450","-0.799395333","-0.301212848","-0.844972400"," 0.877740788","-1.802959033","-0.115347678"," 4.045704144","-1.505483294"," 0.001221125","-0.285380130"," 0.118653926","-0.879793721","-0.269540193","-0.223063582","-0.480330348"," 0.476896603"," 0.283828347"," 2.399487684"," 2.178836531"," 2.039988683"," 1.782096546","-1.048612793","-0.301422187"," 1.162569740"," 6.310961697"," 1.638372794"," 1.950793971"," 0.300319897","-0.326975799"," 1.065795531","-0.279731040"," 7.783292167","-1.091784316","-1.227804233"," 7.388653877","-1.336478471","-1.617764762"," 7.403502400"," 2.340869678"," 0.583444395"," 7.162247984"," 7.329742331"," 5.430557340"," 7.729819926"," 1.084409428"," 0.290802115"," 2.879160331","-0.568216317","-1.043883677"
"AYA"," 0.97995853","-3.24862836","-0.73647975","-0.68016196","-0.18325907","-0.72669179","-0.21266973","-1.18497055"," 0.46505371","-1.17967318","-0.43809880","-1.27030204","-0.24879956","-0.75772458"," 0.67355549"," 1.01249813","-0.04193231"," 0.91354709","-0.58441828"," 0.01828535","-0.00529824","-3.65614602","-0.22173596","-1.70781078","-2.71605081","-0.91198328"," 1.52980851","-0.33599752","-1.13347772","-2.62242629","-2.34525282"," 2.43349100","-1.33211871","-1.19709596","-0.09266850"," 0.80697947"," 1.77707042"," 1.15579545","-0.45069655","-0.18878920"," 0.43173678","-2.84029804","-0.99474542","-0.39489574","-1.93215859"," 2.19176709","-0.82179717"," 2.00213804"," 0.09930397","-0.37492360"," 0.70832849"," 3.75109927"," 3.39181641"," 6.71299920"," 5.10175426","-0.90958401"," 6.61660143","-0.19763996"," 0.54969073"," 0.30803904"," 0.36446612","-0.94891102"," 4.24907039"," 2.64554262","-0.66007934","-0.18447947","-0.99018076"
"AYA","-2.53633063","-2.61800619","-1.65363936","-2.41420677","-1.59677558","-0.53543976","-1.33144501","-0.81263192","-1.33380591","-2.17350237","-1.17557511","-2.35101855","-1.56291225","-0.90633762","-1.68963383","-1.55964982","-1.03285831","-1.97426136","-1.24539440","-1.22391026","-1.26355939","-2.12204896","-1.60731485","-1.77911826","-0.55410032","-0.30339702","-1.79470168","-1.64952305","-2.27105517","-1.63659307","-1.98928528","-1.34527780","-2.39075523","-1.47980450","-2.11845243"," 2.64998701"," 1.99253883"," 2.30177914","-0.28626945"," 0.09549694"," 1.03644741"," 4.99538290","-1.02836557","-4.97976897"," 0.92691369"," 0.19822163"," 1.45772515"," 1.42771547"," 1.89838397","-3.31052189","-0.21408852"," 1.27754355","-2.57918900"," 5.53620376"," 5.23490016","-0.95534248","-1.89173684"," 0.75445673","-3.64150680","-3.47887237"," 5.39970001","-2.37499992","-0.07778791"," 4.37469059"," 1.70180438"," 3.65462254"," 0.84660546"
"AYA","-1.96245107"," 2.73902690","-0.14335332","-2.62542079","-1.02871793","-0.09283261","-0.74312760"," 0.28278117","-0.35759026","-0.68417398","-0.23753075","-1.90031105","-0.57811251","-1.15890654","-1.98862687","-0.41603045","-0.33106289","-1.32596965","-0.56930523","-1.02770677","-0.64295218"," 0.72687236","-2.08702902","-1.04715354","-1.08080720","-0.39256036","-1.81546837","-1.26048956"," 1.20915639","-1.09777781"," 1.74394959","-0.75444874","-2.45893952","-1.28258683","-1.24336340"," 1.19948606"," 0.93088374"," 1.92828290","-2.24784359"," 2.44410672","-1.23848789","-2.38778597","-0.24492772"," 0.63151565","-1.17560169","-1.41357190"," 0.67760663"," 3.25585989"," 0.27707428","-1.96507618"," 0.75828394"," 2.00707898"," 0.99622676"," 1.79015035"," 1.97947656","-1.50113907","-0.25024603"," 1.73909322","-0.98023858","-2.03445152"," 2.99587021","-1.67590902","-1.29894588"," 2.46179506"," 0.65710367"," 2.89028209"," 2.86164927"
"AYA","-4.70845967","-2.83680623","-0.74039067","-4.14065540","-1.60477201","-2.99652477","-2.76223032"," 0.98905811","-0.53024625","-1.03488144","-1.85437286","-1.65234766","-2.47732998","-1.98721696","-2.13988033","-2.24785372","-2.07191789","-0.73815910","-1.22524157","-1.73061450","-1.55790756","-1.53963287","-0.91044915","-0.03617343","-0.98361856","-2.62693931","-1.79787703","-0.88493406","-1.60818919","-0.97912291","-1.29408202","-1.59636017"," 0.31916831","-1.16747835","-0.56044960","-0.32964925"," 0.41256448"," 0.41149593"," 4.09590700"," 1.26882899"," 3.84935401","-0.73893520","-0.73033684"," 3.38486070"," 2.81850330"," 3.38917292"," 4.79404066"," 2.11474665"," 1.24795059","-2.05960113"," 2.79871095"," 5.64047247","-3.29875145","-1.29900084"," 1.89828960","-0.08224447"," 5.72833590"," 2.90594814","-0.58129195"," 1.32971698","-1.88069957","-0.27487418"," 3.57499938"," 0.85256792"," 2.53727040"," 0.37296996","-1.28940081"
"AYA","-1.58016396","-0.66559082","-1.36082181","-2.64375561","-1.69300525","-1.42956478","-1.37259274","-1.51969930","-0.86836014","-0.88607534","-0.49541970"," 1.13489426","-1.66197183","-0.33316698"," 0.22200759","-1.96891195","-1.42143050","-1.43286013","-1.13464971","-0.04298745","-1.51889332","-0.17695573","-1.76693016","-0.95800479"," 2.34378275","-1.42025955","-0.13722489","-0.46477714"," 0.01732332","-0.84646142","-0.06700610","-0.88858220","-1.63099833"," 0.57382544"," 0.23673840"," 2.62401636"," 2.70243315"," 2.20969197"," 0.16113862","-1.76768231","-1.46477816","-0.36082924"," 4.60194661"," 1.56005166","-0.67781910","-0.49375233","-0.97615087"," 0.42839634","-0.50081909"," 5.89053993","-1.47515889","-1.84465775"," 5.71857812","-2.52065400","-1.29788569"," 5.99793695"," 0.33611612","-0.95520505"," 5.93223436"," 5.21516521"," 4.91089380"," 6.28394247","-0.57594075"," 1.08242715"," 2.76523566","-0.58579161","-3.22552746"
"AYA","-1.48563143","-2.88731853","-0.43305882","-2.18847879","-2.52597017","-0.70967883","-1.84283312","-0.87741320","-2.94143632","-2.88045152","-1.46797917","-0.65402012","-2.26982693","-0.12912347","-1.67391665","-1.32756241","-2.16302265","-2.53725237","-1.87525925"," 0.46683887","-1.79922117","-1.39285001","-1.72946803","-3.27514322","-0.14911793","-0.37917480","-1.75973151","-1.94150064","-3.28286800","-1.32908519","-1.32376118","-2.26160787","-1.59255406"," 1.76438593","-0.89924279"," 1.70621230"," 1.72922683"," 1.90048396"," 3.92156160"," 2.09439600","-1.07860174"," 2.89784455"," 0.50176564"," 3.28814299"," 0.78906933"," 1.40844750"," 2.42258302"," 0.67815529"," 1.90091345"," 0.82453280"," 0.28603498","-0.96273391"," 0.60546055"," 0.24663616","-0.36062562"," 0.04663918"," 2.33402908","-0.32172923"," 0.98032361"," 0.90408688"," 2.92543058"," 0.67928695"," 2.45501060"," 3.12872798"," 0.69922674"," 3.69746932"," 5.56298884"
"AYA","-1.99296318","-1.87833109","-3.09254052","-1.76428527","-1.13847518","-0.33602606","-1.52194293","-0.70072395","-1.00122362","-2.07944045","-1.37931470","-0.67958044","-0.67023228","-1.06840675","-1.96741413","-2.11914763","-0.60184648","-2.25801926","-0.98003158","-1.28878740","-0.60563847","-1.60953643","-1.73177803","-0.86247911"," 1.32681398","-0.63030048","-1.54503584","-1.68217314","-2.49706270","-1.81204568","-0.56784183","-1.20157804","-0.32392367","-0.64964783","-1.34303583"," 2.13568563"," 0.79473665"," 1.75650029"," 1.71129923"," 0.85674698"," 0.39362249"," 1.40726308"," 2.93359061"," 1.98478546"," 2.16027816"," 0.09542386"," 3.56557052"," 1.50806264"," 2.40770231"," 3.57798818"," 1.00932584","-1.37941542"," 3.28018834"," 4.70064653","-1.22680793"," 2.44014434"," 0.89270813"," 1.07585218"," 3.13171166"," 2.59854375"," 3.28412834"," 2.91253315"," 2.07177514"," 3.26477865","-0.07934249"," 3.42023219"," 4.93843212"
"AYA","-1.037917458","-0.570278365","-7.257039663","-1.268711242","-0.817624152","-1.245567694","-0.486561467","-1.752500303","-1.194211543"," 0.206838494","-0.225878241"," 1.157436437","-1.017877594","-2.150413318"," 0.459236178","-0.931244085","-1.451548402","-1.101958477","-0.522558921","-1.670229018"," 0.111730277","-0.629480319","-0.848597886","-0.374106316","-1.286901615","-0.963242941"," 0.002133939"," 0.303451831","-0.587041545","-0.395874272"," 0.531678471"," 0.251936162"," 2.417934167","-1.918192156"," 0.953746484"," 1.235244699"," 0.792798245"," 0.817437993"," 2.914017603","-0.265997328"," 0.826164539","-0.060036968"," 0.443772823"," 3.731028296"," 4.656327169"," 1.534651616"," 1.008081664","-0.669664104"," 2.517200827"," 0.316513394"," 1.308725632"," 4.348907414"," 0.637060350"," 4.365978016"," 4.066572441"," 1.540892699"," 4.772577441"," 1.556422213"," 1.446643585","-0.116449979","-0.149560727"," 2.297075926"," 3.939161994"," 0.247863369"," 0.327544421"," 0.474474545"," 2.844774156"
